data_assinatura;orgao_contratante;uf;valor_global_reais;tipo;objeto;numero_controle_pncp;link_pncp
2024-05-29;MUNICIPIO DE CARAPICUIBA;SP;11520,00;Empenho;- Contratação da empresa INSTITUTO ITER LTDA para ministrar curso presencial sobre a Lei n;44892693000140-2-000041/2024;https://pncp.gov.br/app/contratos/44892693000140/2024/41
2024-06-19;MUNICIPIO DE LEME;SP;8640,00;Empenho;SV. CURSO PARA A Participacao dos servidores no Curso para conhecimento e desenvolvimento;46362661000168-2-000117/2024;https://pncp.gov.br/app/contratos/46362661000168/2024/117
2024-06-21;BAHIA SECRETARIA DA SEGURANCA PUBLICA;BA;5760,00;Contrato (termo inicial);Treinamento de Mão de Obra em Geral;13937149000143-2-000261/2024;https://pncp.gov.br/app/contratos/13937149000143/2024/261
2024-07-18;MUNICIPIO DE REGISTRO;SP;2880,00;Empenho;Contratação de curso presencial nos dias 23, 24 e 25 de julho visando o aperfeiçoamento da;45685872000179-2-000214/2024;https://pncp.gov.br/app/contratos/45685872000179/2024/214
2024-08-27;CAIXA ECONOMICA FEDERAL;DF;0,00;Contrato (termo inicial);CONTRATAÇÃO DE INSCRIÇÃO PARA O CURSO DE APERFEIÇOAMENTO EM PROCESSO CIVIL NOS TRIBUNAIS;00360305000104-2-000536/2024;https://pncp.gov.br/app/contratos/00360305000104/2024/536
2024-09-06;SECRETARIA MUNICIPAL DE DESENVOLVIMENTO ECONOMICO E TRABALHO;SP;3168,00;Empenho;CONTRATAÇÃO DA SOCIEDADE EMPRESÁRIA LIMITADA INSTITUTO ITER, CNPJ 52.845.679/0001-13, OBJE;04537740000112-2-000010/2024;https://pncp.gov.br/app/contratos/04537740000112/2024/10
2024-09-06;CASA MILITAR DO GABINETE DO GOVERNADOR;SP;9720,00;Empenho;CAPACITAÇÃO DE FUNCIONÁRIOS DA  CASA CIVIL ATUANTES NAS LICITAÇÕES DE RESPONSABILIDADE DA;00000368000150-2-000079/2024;https://pncp.gov.br/app/contratos/00000368000150/2024/79
2024-10-14;MUNICIPIO DE ARARAQUARA;SP;21600,00;Empenho;CURSO DE APERFEIÇOAMENTO PROFISSIONAL PARA A GUARDA CIVIL MUNICIPAL;45276128000110-2-000861/2024;https://pncp.gov.br/app/contratos/45276128000110/2024/861
2024-11-25;MUNICIPIO DE GUARULHOS;SP;36000,00;Outros;CURSO DE GESTÃO ORIENTADA POR DADOS NA SEGURANÇA PÚBLICA PARA GUARDAS CIVIS MUNICIPAIS;46319000000150-2-000737/2024;https://pncp.gov.br/app/contratos/46319000000150/2024/737
2024-11-25;MUNICIPIO DE SAO SEBASTIAO;SP;7900,00;Empenho;TREINAMENTO E CAPACITACAO;46482832000192-2-000928/2024;https://pncp.gov.br/app/contratos/46482832000192/2024/928
2024-11-26;MUNICIPIO DE MAIRIPORA;SP;7900,00;Empenho;CURSOS E TREINAMENTOS;46523163000150-2-000271/2024;https://pncp.gov.br/app/contratos/46523163000150/2024/271
2024-11-30;SECRETARIA DE SEGURANCA;PI;323223,00;Contrato (termo inicial);"Contratação de empresa para realização de Cursos de Capacitação Profissional para
atender";06553549002729-2-000046/2024;https://pncp.gov.br/app/contratos/06553549002729/2024/46
2024-12-06;MUNICIPIO DE SANTA HELENA;PR;7900,00;Contrato (termo inicial);"PAGAMENTO DA TAXA DE INSCRIÇÃO DO CURSO ""O PREFEITO DO SÉCULO XXI: LIDERANDO PARA UMA GEST";76206457000119-2-000321/2024;https://pncp.gov.br/app/contratos/76206457000119/2024/321
2024-12-09;PARANA ASSEMBLEIA LEGISLATIVA;PR;23700,00;Contrato (termo inicial);Trata-se de contratação direta de pessoa jurídica, por inexigibilidade de licitação, refer;77799542000109-2-000043/2025;https://pncp.gov.br/app/contratos/77799542000109/2025/43
2025-01-28;MUNICIPIO DE LEME;SP;8900,00;Empenho;SV. CURSO PARA A Participacao dos servidores no Curso com objetivo de capacitar profission;46362661000168-2-000046/2025;https://pncp.gov.br/app/contratos/46362661000168/2025/46
2025-02-17;SECRETARIA DE ESTADO DE LICITACAO E CONTRATACAO - SELC;RR;273600,00;Contrato (termo inicial);Contratação de curso de capacitação, modalidade presencial no formato in company, intitula;53212344000120-2-000001/2025;https://pncp.gov.br/app/contratos/53212344000120/2025/1
2025-02-18;GOIAS TRIBUNAL DE CONTAS;GO;16154,00;Empenho;Inscrição do Conselheiro Sebastião Joaquim Pereira Neto Tejota, membro desta Corte de Cont;02291730000114-2-000017/2025;https://pncp.gov.br/app/contratos/02291730000114/2025/17
2025-02-20;PIAUI TRIBUNAL DE CONTAS DO ESTADO;PI;16154,00;Empenho;"Inscrição de membro desta Corte de Contas no curso ""A arte e a ciência da oratória jurídic";05818935000101-2-000009/2025;https://pncp.gov.br/app/contratos/05818935000101/2025/9
2025-02-27;CAMARA MUNICIPAL DE COSMOPOLIS;SP;14220,00;Empenho;INSCRICAO NO CURSO  O PREFEITO DO SECULO XXI  LIDERANDO PARA UMA GESTAO DE RESULTADOS    A;00060981000162-2-000016/2025;https://pncp.gov.br/app/contratos/00060981000162/2025/16
2025-02-27;TRIBUNAL DE CONTAS DO ESTADO DE PERNAMBUCO;PE;16154,00;Empenho;SEI 001.000428/2025-17 Processo de Contratação nº 10/2025 - Inexigibilidade nº 08/2025 Con;11435633000149-2-000017/2025;https://pncp.gov.br/app/contratos/11435633000149/2025/17
2025-02-27;TRIBUNAL DE CONTAS DO CEARA;CE;16154,00;Empenho;Pagamento de 01 (uma) inscrição do Conselheiro Presidente Rholden Botelho de Queiroz, para;09499757000146-2-000008/2025;https://pncp.gov.br/app/contratos/09499757000146/2025/8
2025-03-03;CAJAMAR CAMARA MUNICIPAL;SP;15800,00;Empenho;CONTRATAÇÃO DE EMPRESA PARA MINISTRAR CURSOS PREPARATÓRIO PARA VEREADORES PARA GESTÃO DE R;51447472000128-2-000008/2025;https://pncp.gov.br/app/contratos/51447472000128/2025/8
2025-03-06;MUNICIPIO DE LEME;SP;31600,00;Empenho;SV. CONTRATACAO DE EMPRESA PARA  CURSO O PREFEITO DO SECULO XXI  LIDERANDO PARA UMA GESTAO;46362661000168-2-000234/2025;https://pncp.gov.br/app/contratos/46362661000168/2025/234
2025-03-06;MUNICIPIO DE ARUJA;SP;23700,00;Empenho;CONTRATAÇÃO CURSO PREFEITO DO SECULO XXI: LIDERANDO PARA UMA GESTÃO DE RESULTADOS;56901275000150-2-000082/2025;https://pncp.gov.br/app/contratos/56901275000150/2025/82
2025-03-07;CAMARA MUNICIPAL DE ITUPEVA;SP;7900,00;Empenho;"CONTRATAÇÃO DE CURSO ""O Prefeito do Século XXI: Liderando para uma Gestão de Resultados""";54689336000132-2-000017/2025;https://pncp.gov.br/app/contratos/54689336000132/2025/17
2025-03-11;MUNICIPIO DE JANAUBA;MG;7800,00;Contrato (termo inicial);Contratação do Instituto ITER LTDA, efetuar a inscrição de dois 2 servidores da Prefeitura;18017392000167-2-000548/2025;https://pncp.gov.br/app/contratos/18017392000167/2025/548
2025-03-11;MUNICIPIO DE GUARUJA;SP;35100,00;Empenho;CAPACITACAO VIA CURSO SOBRE A NOVA LEI D E LICITACOES E CONTRATOS ADMINISTRATIVOS;44959021000104-2-000019/2025;https://pncp.gov.br/app/contratos/44959021000104/2025/19
2025-03-12;MUNICIPIO DE JABOTICABAL;SP;15800,00;Empenho;Curso “O Prefeito do Século XXI: Liderando para uma Gestão de Resultados” promovido pelo “;50387844000105-2-000457/2025;https://pncp.gov.br/app/contratos/50387844000105/2025/457
2025-03-12;MUNICIPIO DE JABOTICABAL;SP;15041,60;Empenho;Curso “O Prefeito do Século XXI: Liderando para uma Gestão de Resultados” promovido pelo “;50387844000105-2-000455/2025;https://pncp.gov.br/app/contratos/50387844000105/2025/455
2025-03-17;ESTADO DO ESPIRITO SANTO;ES;8450,00;Outros;"INSCRIÇÃO EM CURSO DENOMINADO ""DIREITO DA CONTRUÇÃO E INFRAESTRUTURA""";27080530000909-2-000011/2025;https://pncp.gov.br/app/contratos/27080530000909/2025/11
2025-03-18;SECRETARIA MUNICIPAL DE ACOES ESTRATEGICAS E INTEGRACAO METROPOLITANA (SEMAEMI);AL;13520,00;Empenho;"Inscrição de servidores no curso ""DIREITO DA CONSTRUÇÃO E INFRAESTRUTURA”";50765274000140-2-000003/2025;https://pncp.gov.br/app/contratos/50765274000140/2025/3
2025-03-20;SECRETARIA MUNICIPAL DE ACOES ESTRATEGICAS E INTEGRACAO METROPOLITANA (SEMAEMI);AL;8820,00;Empenho;"Inscrição de servidores no curso ""CONCESSÕES E PARCERIAS PÚBLICO-PRIVADAS.";50765274000140-2-000004/2025;https://pncp.gov.br/app/contratos/50765274000140/2025/4
2025-03-21;MUNICIPIO DE TABOAO DA SERRA;SP;156000,00;Contrato (termo inicial);"CURSO ""GESTAO ORCAMENTARIA,LICITACOES E RELACAO COM TC"" 20 MATRICULAS-PGTO 14 DE";46523122000163-2-000005/2025;https://pncp.gov.br/app/contratos/46523122000163/2025/5
2025-04-09;MUNICIPIO DE LEME;SP;13650,00;Empenho;SV. DE CURSO com objetivo capacitar profissionais de seguranca publica com conhecimentos a;46362661000168-2-000393/2025;https://pncp.gov.br/app/contratos/46362661000168/2025/393
2025-04-10;INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE MACEIO;AL;3900,00;Empenho;Contratação de empresa especializada para capacitação no curso “Planejamento e Gestão de O;51130072000194-2-000002/2025;https://pncp.gov.br/app/contratos/51130072000194/2025/2
2025-04-11;SECRETARIA DE ESTADO DA SEGURANCA PUBLICA;AM;466200,00;Contrato (termo inicial);1.1.\tContratação de empresa especializada para realização de Curso de Capacitação Profiss;01804019000153-2-000002/2025;https://pncp.gov.br/app/contratos/01804019000153/2025/2
2025-04-24;MUNICIPIO DE JAGUARIUNA;SP;4550,00;Empenho;Curso de Gestão e Governança na Segurança Pública para a Secretária de Gestão, Tecnologia;46410866000171-2-000427/2025;https://pncp.gov.br/app/contratos/46410866000171/2025/427
2025-04-28;MUNICIPIO DE REGISTRO;SP;2850,00;Empenho;Contratação do curso “Construindo Precedentes: O domínio dos Recursos Extraordinários”, co;45685872000179-2-000769/2025;https://pncp.gov.br/app/contratos/45685872000179/2025/769
2025-04-29;MUNICIPIO DO RECIFE;PE;136800,00;Contrato (termo inicial);CURSO DE “PLANEJAMENTO E GESTÃO DE OBRAS PÚBLICAS”, NA MODALIDADE “IN COMPANY”;10565000000192-2-000146/2025;https://pncp.gov.br/app/contratos/10565000000192/2025/146
2025-05-02;MUNICIPIO DE UBERLANDIA;MG;390000,00;Contrato (termo inicial);a realização de capacitação, por meio de serviço técnico especializado de natureza predomi;18431312001006-2-002120/2025;https://pncp.gov.br/app/contratos/18431312001006/2025/2120
2025-05-06;PIAUI TRIBUNAL DE CONTAS DO ESTADO;PI;16154,00;Empenho;"Inscrição de membro desta Corte de Contas para participação no Curso ""A arte e a ciência d";05818935000101-2-000033/2025;https://pncp.gov.br/app/contratos/05818935000101/2025/33
2025-05-07;TRIBUNAL DE CONTAS DO ESTADO DE PERNAMBUCO;PE;16154,00;Empenho;SEI 001.005503/2025-28 SC 59/25 GDDF Doc 0493171 PROJUR 01/22 PC 38/25 Inexig. 23/25 DOE 0;11435633000149-2-000074/2025;https://pncp.gov.br/app/contratos/11435633000149/2025/74
2025-05-07;TRIBUNAL DE CONTAS DO ESTADO DO RIO DE JANEIRO;RJ;16154,00;Empenho;Inscrição do Exmo. Conselheiro Substituto Marcelo Verdini Maia, matrícula nº 02/10.500, pa;30051023000196-2-000055/2025;https://pncp.gov.br/app/contratos/30051023000196/2025/55
2025-05-08;TRIBUNAL DE CONTAS DO ESTADO DO AMAPA;AP;16154,00;Empenho;Participação de um representante do TCE/AP em curso de capacitação voltado ao aprimorament;34870246000136-2-000020/2025;https://pncp.gov.br/app/contratos/34870246000136/2025/20
2025-05-08;MUNICIPIO DE SAO SEBASTIAO;SP;290000,00;Contrato (termo inicial);CONTRATACAO DO INSTITUTO ITER S A PARA MINISTRAR O CURSO EXCLUSIVO  ADMINISTRACAO PUBLICA;46482832000192-2-000198/2025;https://pncp.gov.br/app/contratos/46482832000192/2025/198
2025-07-08;ESTADO DO RIO DE JANEIRO;RJ;20250,00;Empenho;Reserva de 01 (uma) vaga no curso de capacitação profissional presencial promovido pelo In;42498600000171-2-003076/2025;https://pncp.gov.br/app/contratos/42498600000171/2025/3076
2025-07-24;CONSORCIO INTERMUNICIPAL DA REGIAO OESTE METROPOLITANA DE SAO PAULO;SP;1228505,55;Contrato (termo inicial);CONTRATAÇÃO DA EMPRESA INSTITUTO ITER S.A PARA MINISTRAR CURSOS E PALESTRAS EM DIVERSAS ÁR;20301484000116-2-000008/2025;https://pncp.gov.br/app/contratos/20301484000116/2025/8
2025-08-27;MUNICIPIO DE CONCEICAO DO MATO DENTRO;MG;390000,00;Contrato (termo inicial);CONTRATACAO DO INSTITUTO ITER SA PARA MINISTRAR O CURSO EXCLUSIVO ADMINISTRACAO PUBLICA DO;18303156000107-2-000137/2025;https://pncp.gov.br/app/contratos/18303156000107/2025/137
2025-08-28;SAECIL-SUPERINT.DE AGUA E ESGOTO DA CIDADE DE LEME;SP;11700,00;Empenho;CONTRATACAO DE UM CURSO DE TREINAMENTO E APERFEICOAMENTO PESSOAL NA AREA DE FISCALIZACAO;46675997000180-2-000390/2025;https://pncp.gov.br/app/contratos/46675997000180/2025/390
2025-09-20;SECRETARIA MUNICIPAL DE GESTAO - SG;SP;380000,00;Contrato (termo inicial);PRESTAÇÃO DE SERVIÇOS ESPECIALIZADOS DE TREINAMENTO E APERFEIÇOAMENTO DE AGENTES PÚBLICOS;49269251000165-2-000058/2025;https://pncp.gov.br/app/contratos/49269251000165/2025/58
2025-10-08;ESTADO DO RIO DE JANEIRO;RJ;19500,00;Contrato (termo inicial);Contratação de 5 (cinco) vagas para o evento Curso Planejamento e Gestão de Obras Públicas;42498600000171-2-004987/2025;https://pncp.gov.br/app/contratos/42498600000171/2025/4987
2025-11-03;MUNICIPIO DE PIRACICABA;SP;59280,00;Empenho;Curso de capacitação Nova Lei de licitações: Teoria e Prática, a ser realizado nos dias 05;46341038000129-2-001958/2025;https://pncp.gov.br/app/contratos/46341038000129/2025/1958
2025-12-19;CAMARA MUNICIPAL DE DIADEMA;SP;376867,87;Contrato (termo inicial);CONTRATACAO DO INSTITUTO ITER S/A PARA MINISTRACAO DE CURSOS DE CAPACITACAO TECNICA NAS AR;49528128000111-2-000049/2025;https://pncp.gov.br/app/contratos/49528128000111/2025/49
2026-03-12;CONSELHO REGIONAL DE CONTABILIDADE DO ESTADO DO RIO JAN;RJ;26500,00;Empenho;Contratação de serviço técnico especializado de treinamento e aperfeiçoamento de pessoal,;33287806000161-2-000005/2026;https://pncp.gov.br/app/contratos/33287806000161/2026/5
